Check Number        Amount              Date
466415              3800.0              01/03
466416              4700.0              01/04
466417              4000.0              01/03
466418              1600.0              01/04
466419              5000.0              01/03
466420              1000.0              01/05
466421              500.0               01/03
466428              1105.85             01/03
466429              3001.59             01/03
466471              1410.8              01/19
466475              5571.67             01/17
466507              983.62              01/03
466517              1025.0              01/09
466519              1000.0              01/06
466529              3000.0              01/11
466531              1000.0              01/11
466539              522.94              01/10
466551              1000.0              01/06
466562              375.0               01/11
466566              4500.0              01/05
466573              2303.37             01/09
466579              2500.0              01/04
466581              300.0               01/05
466585              2934.1              01/10
466591              5114.0              01/17
466600              550.0               01/06
466603              9187.82             01/09
466605              1499.27             01/09
466608              960.32              01/09
466612              18000.0             01/06
466621              4000.0              01/13
466624              1647.08             01/11
466625              2941.75             01/11
466626              5955.0              01/05
466650              1049.09             01/06
466661              435.45              01/04
466665              139.03              01/09
466668              5807.65             01/06
466672              10000.0             01/09
466673              4000.0              01/11
466676              12000.0             01/10
466690              3600.0              01/04
466692              2000.0              01/10
466693              3665.0              01/05
466703              200.0               01/11
466709              1500.0              01/12
466712              750.0               01/10
466715              7004.42             01/09
466717              6000.0              01/10
466728              1900.0              01/11
466735              4000.0              01/09
466739              4000.0              01/06
466750              1350.01             01/10
466753              889.63              01/10
466761              2500.0              01/06
466776              2776.27             01/10
466778              24000.0             01/09
466779              3000.0              01/09
466783              8500.0              01/11
466790              3000.0              01/06
466793              19.06               01/06
466794              199.44              01/05
466795              90.0                01/04
466796              46.56               01/18
466797              13.15               01/04
466798              68.35               01/10
466799              88.08               01/06
466800              3.99                01/09
466802              56.29               01/12
466803              4.99                01/17
466804              20.0                01/03
466807              735.75              01/04
466808              10.0                01/03
466809              24.38               01/03
466810              300.0               01/18
466811              73.99               01/04
466812              22.0                01/04
466813              10.26               01/17
466816              34.94               01/11
466817              4.98                01/05
466818              8.99                01/03
466821              17.39               01/03
466824              67.78               01/09
466825              98.87               01/13
466826              63.4                01/17
466834              164.91              01/03
466835              18.0                01/10
466836              44.64               01/03
466840              61.49               01/10
466842              31.75               01/10
466843              56.59               01/04
466844              124.51              01/03
466846              20.27               01/13
466848              25.0                01/12
466850              167.66              01/18
466851              380.82              01/12
466853              5.57                01/12
466856              33.25               01/18
466857              16.55               01/13
466858              3.99                01/18
466862              450.18              01/17
466863              21.64               01/10
466864              33.72               01/09
466867              2.0                 01/09
466874              75.66               01/20
466877              11.76               01/17
466881              581.64              01/20
466882              143.46              01/10
466885              57.1                01/13
466886              50.0                01/17
466888              19.2                01/10
466889              13.29               01/13
466893              149.55              01/17
466895              134.0               01/09
466896              1100.0              01/11
466897              500.0               01/13
466898              843.0               01/04
466899              11250.0             01/03
466903              614.81              01/03
466904              5000.0              01/03
466905              600.0               01/03
466907              1095.33             01/03
466908              1473.98             01/03
466909              5136.0              01/03
466910              2956.38             01/05
466911              3000.0              01/04
466912              1483.9              01/04
466913              3200.0              01/03
466914              6000.0              01/03
466915              1296.59             01/04
466916              2043.61             01/03
466918              800.0               01/09
466919              200.0               01/03
466920              250.0               01/03
466921              220.0               01/03
466922              2500.0              01/03
466923              3500.0              01/03
466924              4160.66             01/03
466925              2500.0              01/03
466926              1085.0              01/03
466927              4725.22             01/03
466928              2500.0              01/04
466929              6000.0              01/03
466930              9500.0              01/03
466931              16000.0             01/03
466932              1702.94             01/06
466933              2300.0              01/03
466934              12458.63            01/03
466935              4335.0              01/05
466936              3000.0              01/03
466937              450.0               01/03
466938              800.0               01/03
466939              390.0               01/04
466940              1400.0              01/03
466941              350.0               01/03
466942              500.0               01/03
466951              1635.02             01/04
466956              3364.85             01/04
